index,current_price,market_cap,total_volume,date
eth,16.679799363958676,325267881.40397185,4132308.342490527,24-09-2023
eur,24919.69674311693,485724777501.0406,6173687614.398048,24-09-2023
gbp,21712.489918348285,423211182836.5769,5379123649.394897,24-09-2023
hkd,207820.0398770552,4050745226561.4688,51486020052.27314,24-09-2023
huf,9718349.555772092,189426188621600.16,2407655875725.414,24-09-2023
idr,408097071.5743892,7954465149903877.0,101103310454483.0,24-09-2023
ils,101177.0247782548,1972102163009.2288,25065928818.2424,24-09-2023
inr,2208275.768115308,43042829420667.625,547085500250.0959,24-09-2023
jpy,3940381.373574376,76804340184328.84,976203038616.8387,24-09-2023
krw,35493593.765318945,691826955684513.8,8793299632747.346,24-09-2023
kwd,8211.0766160018,160047026393.0114,2034239121.2720337,24-09-2023
lkr,8586261.511311615,167359980546293.7,2127188660953.8604,24-09-2023
ltc,408.35912015550406,7963943795.421757,101168231.23166086,24-09-2023
mmk,55607603.08595564,1083881193046718.6,13776410442593.004,24-09-2023
mxn,457438.20399537776,8916202799197.455,113327244848.54698,24-09-2023
myr,124671.56200515392,2430048300342.4546,30886542727.75094,24-09-2023
ngn,20333500.46826251,396332471160272.6,5037488268509.629,24-09-2023
nok,286485.49685792613,5584060899819.221,70974859039.76637,24-09-2023
